PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PG10807-0211	計量：座標計量：3d掃描量測：力量校正系統：多軸力學感測器：互換校正：自由場靈敏度：人工耳
PC10807-2959	公路隧道火災：避難安全：緊急應變與救援：火災安全設計
PC10807-2933	電子病歷：住院暴力：暴力評估：預測模型：精神醫學：文字探勘
PA10807-2945	hessenberg矩陣：toeplitz矩陣：多重zeta值：對稱函數
PF10807-4752	正拍擊球：反拍擊球：知覺-行動：球速
PB10807-6726	資訊熵：軟體定義網路：速寫演算法：網路流量異常偵測：p4語言：可程式化邏輯閘陣列
PF10807-4746	國家文化異質性：高階經理團隊：干擾效果：管理機制：配適：模糊質性比較分析
PC10807-3215	疲潰：護理人員：量表發展
PC10807-3216	腎絲球硬化：足細胞培養株：體外培育核-殼腎絲球結構：3d細胞球：細胞治療
PA10807-3137	膠原蛋白：聚脯胺酸：酯類水解酶：組織胺酸：自組裝：異源三股螺旋：陽離子-π作用力
PF10807-4759	產業技術標準：知識外溢效果：外部性：專利資訊
PF10807-4834	忙碌會計師：會計師的工作負擔：審計品質：裁決性應計數：共同簽證關係：審計市場集中度
PB10807-6822	城市永續環境行動：參與者：低碳永續家園：綠屋頂
PF10807-4827	人工智慧：移民與國境執法：歧視與偏見：演算法：正當法律程序：責任歸屬：國家責任
PF10807-4828	隱私：可信的機密性：契約理論
PC10807-3361	困難梭狀桿菌：黏膜疫苗：毒素：表面蛋白：生物降解性水凝膠
PC10807-3349	真菌：生理活性：栓菌：粗毛擬革蓋菌：立枯絲核菌：生物轉化
PF10807-4707	台灣流感歷史：美國海軍醫學研究所：生物安全：疫苗：病毒：世界衛生組織
PC10807-3097	糖尿病腎臟病變：外泌小體：微小核醣核酸：近端腎小管：腎絲球：微環境
PB10807-6571	最長共同子序列：對角線方法：最長共同回文子序列：最長共同子序列但子字串長度為k：最長共同子序列但子字串長度為大於等於k
PB10807-6572	灰狼蚱蜢混合演算法：智慧運輸系統：主動交通管理控制
PF10807-4809	realized beta garch模型：衰減偏誤：跳躍偏誤：期貨市場：過度投機：波動率：最適避險比率
PB10807-6823	第五代：蜂巢式物聯網：媒介存取控制協定：感知無線：波束成形：能量擷取：叢集化
PB10807-6611	越庫系統：棧台指派：儲位規劃：非線性最佳化：最佳化模式
PF10807-4644	混合頻率資料：門檻模型：變動門檻：傅立葉轉換
PF10807-4646	新進成員：銷售績效：社會影響：心理資源：認同感：訂購定配：主動促進機制：消費者感知價值：消費者續訂行為
PB10807-6605	共享社區：都市治理：治理裝置：政策移動性
PA10807-3061	二氧化碳：海水酸化：西菲律賓海：東海：南海：時間序列
PB10807-6594	敏感性社會議題：沉默螺旋：社會資本：地方依附感
PB10807-6595	可用性：運動器材
PB10807-6625	節能減碳永續水處理技術：高效率厭氧流化床薄膜生物反應器：厭氧除碳產能功能性微生物生態與活性表現：分子生物技術：微生物代謝通量分析：統計分析：數學模式模擬
PB10807-6626	幾何視錯覺：ok 錯視：ml 錯視：服裝設計：錯視形狀文法：汽車造形設計
PB10807-6638	智慧醫院：床邊服務系統：創新營運模式
PF10807-4681	校長培育：校長專業發展：韓國：台灣
PC10807-3123	終板：營養通道：血管通道：椎間盤退化：高解析度電腦斷層掃描：顯微構造
PF10807-4677	乳癌家長：乳癌家長之子女：介入方案：方案評估
PD10807-0561	氣候變化：河口：水團：浮游動物：物種多樣性：管水母：橈足類：毛顎類：分布
PB10807-6640	目標設定理論：團隊目標期望理論：團隊目標承諾：企業系統導入團隊
PB10807-6641	多維度卷積式類神經網絡：語音情緒辨識：影像情緒辨識：經驗模態分解：基因演算法：現場可程式化邏輯閘陣列
PC10807-3130	群體細胞爬行：src：大腸癌：e-cadherin：rab11：癌症幹細胞
PB10807-6656	肌少症：非等向性：最佳電流圖型：電阻抗肌電圖：電阻抗斷層掃描影像：生醫電刺激
PC10807-3138	全球慢性腎臟病（ckd）：末期腎病（esrd）：植入式人工腎（iak）：納米多孔微管陣列膜（mtam）
PB10807-6657	復原設計：創意性機構設計：漏刻水鐘：自動機：機械史
PD10807-0569	植物吸收：藥物：代謝物鑑定：液體層析質譜儀：快速分析方法
PB10807-6692	hfzrox鐵電層：鐵電電晶體：鐵電穿隧接面：無接面型鐵電電晶體：穿隧型鐵電電晶體：潛行電流：矯頑電場(ec)調變：單一記憶胞多位元操作：電子突觸：神經型態電路：可靠度：資料保存能力：去極化電場：疲乏效應：印記效應：抗輻射能力：鍺/鍺錫基板：三維鐵電記憶體
PF10807-4725	偏遠地區：教育政策實踐：政策回饋：實驗教育：教育領導
PC10807-3316	腎臟：血管肌肉脂肪瘤：腎細胞癌：良性：惡性：影像特徵：脂肪：磁振造影：抗癌藥物：組織學：次分類：相關性：免疫染色法：即時定量聚合酶鏈鎖反應：西方點墨法：關聯性：預測
PC10807-3161	磷酸烯醇丙酮酸羧化激酶：pck2：乳癌：mtor
PC10807-3164	流行性感冒病毒：免疫總譜：單株抗體
PC10807-3165	轉化生長因子β：smad3連結區磷酸化：阿茲海默症：pin1：cdk5：p25
PA10807-3110	石松生物鹼：天然物全合成：palhinine 生物鹼：自由基重排反應：藥物研究
PF10807-4694	四軸飛行器：stem：專題導向課程：學習策略與評估
PB10807-6960	變異數降低技術：虛擬亂數指派策略：粒子群演算法：收斂性分析
PF10807-4956	職涯適應：工作要求─資源模式：退縮行為
PB10807-7007	虛擬實境：中風復健：鏡像治療：上肢職能治療：約束誘導運動療法：認知訓練
PF10807-4925	大國競爭：美國：中國：東亞國家：避險策略：國內政治經濟因素：國際政治經濟因素
PC10807-3377	農業廢棄物：甘蔗渣：環氧樹脂：難燃劑：互穿式網狀結構：水熱法
PA10807-3254	合成探針：微環境監測：酸鹼質：癌轉移：細胞移動
PF10807-4965	擴大書面審核申報：避稅
PB10807-7029	文字探勘：深度學習：單類別分類：隱含狄利克雷分布主題模型：藥物不良反應
PB10807-7043	近視進展：近視控制：相對周邊屈光：眼球成長：成像面：視網膜形狀
PA10807-3259	水收集：金屬有機骨架：超分子結構：單晶至單晶結構轉變：固態結構轉變：主客體化學
PB10807-7020	不確定因素：永續循環經濟產業：灰色多屬性決策：灰關連分析：全方位永續最佳化
PD10807-0598	度洛西汀：掌性醇中間體：生物轉化：前掌性酮類：短鏈脫氫酶/還原酶
PF10807-4963	互動式電子書：樂齡學習中心：健康教育課程
PB10807-7040	高功率脈衝磁控濺鍍技術：氧化鋅：鋁氧化鋅：可撓性基板
PF10807-4968	多管道零售：展廳現象：反展廳現象
PB10807-7087	物聯網：智慧電網：大數據：人工智慧運算平台：配電盤系統
PF10807-5017	大規模開放式線上課程：小規模翻轉教室線上課程：混成學習模式：ai精準教育：個別差異：學習成效
PD10807-0611	育種：基因連鎖圖譜：蝴蝶蘭基因資料庫：蝴蝶蘭：單核甘酸多型性：全基因體關聯分析：黃葉病：軟腐病
PF10807-4927	情緒勒索：量表發展：情緒操弄：情緒虐待：順服行為
PC10807-3336	方根容積卡爾曼濾波法：癲癇預測：光基因刺激：閉迴路控制
PE10807-1939	現地研究：古代驛路：南宋以後：交通：長江以南
PF10807-5087	有效能教養策略：單親家庭：隔代教養：低收入家庭
PF10807-5098	地方創生：運作動態：績效評估：品牌農業
PB10807-7207	保育的多重屬性：歐亞水獺：條件邏輯特模型：隨機參數邏輯特模型：潛在類別模型
PG10807-0246	檢測機構管理：環境污染源鑑識：地理資訊系統
PG10807-0229	創生在地：創新創業：創育機構：育成輔導：國際加速器
PF10807-4851	旅館擁擠效果：生產力變動：利潤率：國際觀光旅館
PF10807-4860	遺體護理：急性哀傷撫慰：師資培育：教學意向：計畫行為理論：成人學習
PA10807-3167	分子內環化平台技術：稠醣巨環分子：分子資料庫：新穎抗生素：建構單元：疊氮−炔[3 + 2]環化反應：內酯化反應：內醯胺化反應
PB10801-2067	印刷電路板：智慧製造：單機聯網智慧製造：整線智慧製造系統：智能分析：設計製造一體化：下世代尖端通訊產品：感測器封裝：先進封裝整合技術
PC10801-1285	腸道菌叢：大腸息肉：大腸直腸癌：β-葡萄醣醛酸酶：人工智慧：臨床風險評估
PB10801-2051	慣性量測單元：地下管線資料庫：管線維修作業：修復對策研擬
PB10801-2052	噴水推進：兩棲突擊載具：八輪甲車：計算流體力學：有限體積法：實驗設計法：田口法
PB10801-2035	人工智慧：空戰輔助系統：決策系統
PC10801-1302	心血管疾病：人類腸道菌相：氧化三甲胺：肉鹼耐量試驗：微生物培養體：微生物代謝體：無菌動物模型
PD10801-0210	日本腦炎病毒：第一基因型：地方性流行：過冬機制
PB10801-2071	產學聯盟：pm2.5控制技術：pm2.5監測技術：奈米微粒：技術移轉
PA10801-0813	恆星形成：行星形成：原恆星盤：星際塵埃：阿塔卡瑪大型毫米及次毫米波陣列：次毫米波陣列：甚大陣列
PA10801-0824	南海：水下噪音：噪音資料庫：預估模式：聲納效能：asorps
PC10801-1299	身體活動：睡眠品質：穿戴式裝置：行動健康：行為改變科技
PC10801-1300	主導微生物叢：總體基因體學：霰彈槍定序法：微生物培養體學：maldi-tof質譜儀：生殖健康醫學
PA10801-0831	大幅度日溫差：珊瑚共生菌：微生物族群變動：內生桿菌：不動桿菌：培養體學
PA10801-0828	bio-app生物科技產學研聯盟：結構蛋白質體學技術：生技新藥產業：產學合作：質譜儀：核磁共振光譜學：x光繞射晶體學：蛋白質-配體分子對接：虛擬藥物篩選：活體細胞影像分析
PB10801-2191	數位口腔產業聯盟平台：輸入：程序：輸出：醫療
PG10801-0628	醫療科技評估：健康保險：成本效益：醫療服務
PG10801-0631	國民健康：實地訪查：電話訪查：品質管控
PG10802-0347	5g小基站：虛擬無線接取網路：射頻收發機：功率放大器：國際行動通訊2020：多第三代合作夥伴計畫：超大寬頻行動通訊：超可靠/低延遲通訊
PG10802-0336	能源管理：聚合調度：太陽光電：電池儲能系統
PG10806-0149	太陽光電：即時發電量推估
PG10806-0152	發購電資料庫：需量反應效益分析
PG10806-0154	電網管理：智慧電網：再生能源：分散式能源
PG10808-0041	第五代行動通信：頻譜釋照：固定衛星業務：干擾評估
PG10806-0153	智慧電網：分散式能源：太陽光電
PG10806-0155	自動需量反應：用戶端管理
PF10807-4397	包裝：包裝圖片：說服知識：欺騙性包裝
PF10807-4413	財務危機：公司研發創新：專利權：家族企業：利益衝突：內生性問題
PE10807-1706	玄言詩：晉代：門閥：士人
PE10807-1817	跨語世代：敘事情節：身分認同：歷史意識：現實詩學
PE10807-1818	列女傳受容：女訓文學：和刻本：江戶前期文學
PB10807-6734	銲接：非線性分析：有限元素法：挫曲強度：殘餘應力：變形控制
PF10807-4762	市場操弄：結算價格：delta避險：衍生性金融商品市場：股票市場
PB10807-6752	人臉偵測：人臉校正：人臉修復：人臉辨識：粒子濾波器：深度學習生成器與鑑別器
PF10807-4774	偏差行為：偏差行為自我效能：偏差行為效益：偏差行為傷害：中立化技術
PC10807-3220	頭頸鱗狀細胞癌：鐵凋亡：免疫治療：第四號穀胱甘肽過氧化物酶：細胞程式死亡配體1
PA10807-3154	巨觀：介觀：微觀：腦連結體：神經網絡：眼眶額葉腦區：擴散磁振造影：層光顯微技術：人腦影像特徵指紋
PB10807-6804	su-8光阻：光化學還原：金屬奈米粒子：拉曼基板：超穎表面：奈米壓印
PF10807-4902	公民與社會：對話分析：學生中心教學：鷹架作用
PB10807-6681	托架：高強度螺栓：接頭試驗驗證：有限元素分析：耐震補強
PB10807-6687	電力轉型：能源政策：產業發展：系統動態學
PC10807-3091	肺癌：腦轉移：yes相關蛋白：cdk-9：肺癌腦轉移小鼠模型：肺癌病患源生異種移植小鼠模型
